"age","job","marital","education","default","housing","loan","contact","month","day_of_week","duration","campaign","pdays","previous","poutcome","emp.var.rate","cons.price.idx","cons.conf.idx","euribor3m","nr.employed","deposit"
54,"admin.",1,"university.degree",1,1,1,"telephone","may","wed","1689sec",4,999,0,"nonexistent",1.1,93.994,-36.4,"4.856%",5191,"yes"
31,"blue-collar",2,"basic.9y",1,1,1,"telephone","may","fri","451sec",4,999,0,"nonexistent",1.1,93.994,-36.4,"4.857%",5191,"no"
37,"student",1,"university.degree",1,2,1,"cellular","may","thu","489sec",1,999,1,"failure",-1.8,93.876,-40,"0.699%",5008.7,"yes"
49,"blue-collar",2,"basic.9y",0,1,2,"cellular","aug","wed","92sec",4,999,0,"nonexistent",1.4,93.444,-36.1,"4.965%",5228.1,"no"
37,"services",2,"basic.6y",1,2,1,"cellular","jul","tue","165sec",1,999,0,"nonexistent",1.4,93.918,-42.7,"4.962%",5228.1,"no"
37,"services",2,"basic.6y",1,1,1,"telephone","may","wed","155sec",4,999,0,"nonexistent",1.1,93.994,-36.4,"4.858%",5191,"no"
59,"admin.",2,"university.degree",0,1,1,"cellular","nov","fri","140sec", ,999,1,"failure",-0.1,93.2,-42,"4.021%",5195.8,"no"
31,"management",3,"university.degree",1,1,1,"cellular","nov","thu","319sec", ,999,1,"failure",-0.1,93.2,-42,"4.076%",5195.8,"no"
33,"services",2,"basic.9y",1,1,2,"cellular","may","tue","277sec",1,999,0,"nonexistent",-1.8,92.893,-46.2,"1.291%",5099.1,"no"
50,"unemployed",0,"university.degree",1,1,1,"cellular","mar","fri","166sec",2,999,0,"nonexistent",-1.8,92.843,-50,"1.64%",5099.1,"no"
33,"blue-collar",2,"basic.6y",0,2,2,"cellular","may","fri","306sec",4,999,1,"failure",-1.8,92.893,-46.2,"1.25%",5099.1,"no"
65,"admin.",2,"university.degree",1,2,1,"cellular","oct","thu","120sec",1,999,0,"nonexistent",-3.4,92.431,-26.9,"0.754%",5017.5,"no"
35,"management",2,"high.school",1,2,1,"cellular","aug","thu","448sec",3,999,0,"nonexistent",1.4,93.444,-36.1, ,5228.1,"no"
34,"blue-collar",2,"basic.9y",0,1,1,"telephone","jun","wed","74sec",1,999,0,"nonexistent",1.4,94.465,-41.8,"4.962%",5228.1,"no"
32,"admin.",2,"university.degree",1,1,2,"telephone","may","fri","1692sec",2,999,0,"nonexistent",1.1,93.994,-36.4,"4.855%",5191,"yes"
29,"admin.",2,"high.school",1,2,1,"telephone","jun","fri","21sec",3,999,0,"nonexistent",1.4,94.465,-41.8,"4.959%",5228.1,"no"
50,"blue-collar",2,"basic.9y",0,2,1,"cellular","aug","tue","60sec",4,999,0,"nonexistent",1.4,93.444,-36.1,"4.965%",5228.1,"no"
69,"retired",2,"professional.course",1,1,2,"cellular","oct","thu","103sec",1,999,1,"failure",-3.4,92.431,-26.9,"0.722%",5017.5,"no"
43,"services",3,"high.school",0,1,2,"cellular","nov","fri","53sec",1,999,0,"nonexistent",-0.1,93.2,-42,"4.021%",5195.8,"no"
49,"self-employed",2,"basic.9y",0,2,1,"cellular","jul","thu","82sec",1,999,0,"nonexistent",1.4,93.918,-42.7,"4.958%",5228.1,"no"
38,"blue-collar",3,"university.degree",0,1,1,"telephone","may","tue","456sec",1,999,0,"nonexistent",1.1,93.994,-36.4,"4.856%",5191,"no"
31,"blue-collar",3,"basic.9y",1,1,2,"telephone","may","wed","53sec",7,999,0,"nonexistent",-1.8,92.893,-46.2,"1.281%",5099.1,"no"
42,"services",2,"basic.6y",1,1,1,"cellular","jul","tue","92sec",3,999,0,"nonexistent",1.4,93.918,-42.7,"4.961%",5228.1,"no"
35,"blue-collar",2,"basic.4y",0,2,1,"cellular","may","thu","330sec",1,999,1,"failure",-1.8,92.893,-46.2,"1.327%",5099.1,"no"
38,"blue-collar",2,"basic.6y",0,1,1,"cellular","jul","tue","403sec",7,999,0,"nonexistent",1.4,93.918,-42.7,"4.961%",5228.1,"no"
35,"admin.",1,"university.degree",1,2,1,"cellular","nov","fri","102sec",1,999,0,"nonexistent",-0.1,93.2,-42,"4.021%",5195.8,"no"
29,"admin.",3,"university.degree",1,1,1,"cellular","aug","fri","186sec",3,999,0,"nonexistent",1.4,93.444,-36.1,"4.963%",5228.1,"no"
28,"blue-collar",2,"basic.4y",1,1,2,"cellular","may","wed","135sec",2,999,1,"failure",-1.8,92.893,-46.2,"1.281%",5099.1,"no"
38,"self-employed",3,"university.degree",1,0,0,"telephone","may","tue","114sec",3,999,0,"nonexistent",1.1,93.994,-36.4, ,5191,"no"
33,"admin.",1,"high.school",1,1,1,"cellular","jul","wed","249sec",3,999,0,"nonexistent",1.4,93.918,-42.7,"4.963%",5228.1,"no"
23,"student",3,"high.school",1,2,1,"cellular","may","wed","435sec",1,999,0,"nonexistent",-1.8,92.893,-46.2,"1.281%",5099.1,"no"
37,"technician",3,"high.school",0,1,1,"cellular","jul","mon","500sec",1,999,0,"nonexistent",1.4,93.918,-42.7,"4.96%",5228.1,"no"
26,"admin.",3,"university.degree",1,2,1,"cellular","jun","wed","213sec",1,999,0,"nonexistent",-2.9,92.963,-40.8,"1.26%",5076.2,"no"
